"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"378" "mmu-miR-384-3p" 4 NA 1 1 NA 6 NA 1 1 2 NA NA 1 NA 15 NA 2 NA 4 NA 2 17 17 NA
"379" "mmu-miR-409-3p" 6 4 19 25 15 41 13 11 10 10 1 NA 2 1 NA 36 27 69 14 21 12 51 57 31
"380" "mmu-miR-409-5p" 9 3 84 25 16 26 NA 7 9 16 1 NA 2 NA NA 13 29 NA 25 23 40 4 78 41
"381" "mmu-miR-410-3p" 43 10 56 59 50 18 NA 15 15 2 7 1 11 5 27 16 22 8 19 11 29 40 41 98
"382" "mmu-miR-411-3p" 31 4 35 39 15 91 24 26 24 12 7 4 7 NA 34 6 32 25 35 32 24 61 80 50
"383" "mmu-miR-411-5p" 807 137 1634 932 1052 868 538 426 347 171 50 60 146 78 514 431 388 509 372 878 780 695 725 569
"384" "mmu-miR-412-5p" 1 NA NA 1 NA 1 NA NA 1 NA NA NA 1 NA NA NA 4 NA 2 3 NA NA 3 3
"385" "mmu-miR-421-3p" 66 6 158 63 71 144 NA 31 37 32 7 NA 12 2 47 30 61 70 57 115 145 22 145 104
"386" "mmu-miR-423-3p" 648 124 2280 1119 488 1045 724 473 433 533 121 56 149 90 534 849 656 521 624 799 1019 364 1697 808
"387" "mmu-miR-423-5p" 152 30 495 205 126 732 61 91 122 268 26 8 36 21 78 202 205 290 172 195 444 107 540 246
"388" "mmu-miR-425-5p" 3326 626 3405 4296 1360 5255 1726 1516 1502 1141 486 121 561 272 3065 2784 3996 2960 3730 2085 3428 1467 6057 4110
"389" "mmu-miR-429-3p" 16260 1405 16409 14174 7540 22154 2789 6414 7179 4036 698 380 2567 585 5944 4904 9842 4600 7836 10179 19613 6511 18639 8693
"390" "mmu-miR-431-5p" 13 NA 5 41 59 35 NA 15 18 2 4 NA 1 3 NA 35 16 56 15 39 18 NA 41 42
"391" "mmu-miR-433-3p" 11 6 NA 5 3 23 NA 4 5 13 1 NA 1 NA 36 18 19 21 7 5 25 14 51 45
"392" "mmu-miR-433-5p" 3 NA 9 1 NA 6 NA 1 2 NA 2 NA NA NA NA NA 3 NA 3 NA 8 NA 10 NA
"393" "mmu-miR-434-3p" 190 70 437 269 171 562 50 108 189 81 65 17 55 21 351 276 337 331 425 312 320 353 1016 882
"394" "mmu-miR-434-5p" 50 4 130 148 65 141 24 45 55 23 2 3 14 10 43 73 93 112 55 54 151 79 157 92
"395" "mmu-miR-449a-5p" 284 46 606 720 302 406 285 97 215 171 17 24 90 53 266 181 614 631 283 375 1092 272 524 372
"396" "mmu-miR-450a-1-3p" 6 NA 12 NA NA 6 NA 2 1 1 NA NA NA NA NA NA NA NA 3 9 10 NA 15 16
"397" "mmu-miR-450a-5p" 70 14 115 107 32 286 50 27 58 51 6 NA 19 6 16 25 135 86 90 75 349 88 275 111
"398" "mmu-miR-450b-3p" 24 2 42 12 10 46 NA 9 5 6 2 3 5 NA NA 8 12 NA 5 14 65 NA 30 39
"399" "mmu-miR-450b-5p" 1 NA NA 4 NA 2 NA 4 NA NA NA NA NA NA NA NA 4 9 NA NA 1 NA 13 NA
"400" "mmu-miR-451a" 471 440 680 1871 308 2686 630 491 496 224 295 67 168 87 280 371 740 1037 1186 607 1053 354 1287 535
"401" "mmu-miR-452-3p" 2 NA 6 NA NA NA NA NA 1 1 NA NA NA NA NA NA 3 12 NA NA NA NA 7 NA
"402" "mmu-miR-455-3p" 29 9 172 62 14 168 53 16 25 15 17 2 11 2 19 19 50 40 57 25 62 42 168 96
"403" "mmu-miR-455-5p" 23 4 27 12 27 44 NA 9 12 11 NA NA 4 NA NA 5 10 NA 14 9 23 NA 33 24
"404" "mmu-miR-463-3p" 17 NA 35 14 3 11 NA NA 1 5 NA NA NA NA NA NA 17 16 1 NA 38 NA NA NA
"405" "mmu-miR-463-5p" 47 7 18 140 89 65 31 19 32 22 8 5 18 10 157 38 106 78 80 54 169 126 89 119
"406" "mmu-miR-465a-3p" 308 100 750 466 170 444 705 224 179 194 90 14 85 52 573 476 639 710 719 439 594 414 503 769
"407" "mmu-miR-465a-5p" 488 157 767 1746 287 773 308 356 275 262 106 54 227 96 809 696 1519 1298 1982 968 1540 627 844 1392
"408" "mmu-miR-465b-3p" 308 100 750 466 170 444 705 224 179 194 90 14 85 52 573 476 639 710 719 439 594 414 503 769
"409" "mmu-miR-465b-5p" 107 53 462 747 120 398 534 154 207 329 40 23 96 43 653 489 646 971 569 434 1200 609 508 457
"410" "mmu-miR-465c-3p" 308 100 750 466 170 444 705 224 179 194 90 14 85 52 573 476 639 710 719 439 594 414 503 769
"411" "mmu-miR-465c-5p" 184 117 791 993 203 609 1184 242 310 493 72 45 124 74 1108 911 1048 1339 1001 772 1305 756 802 729
"412" "mmu-miR-466a-3p" 332 47 736 397 115 520 NA 123 122 108 37 29 45 51 265 197 421 417 272 243 555 205 1029 332
"413" "mmu-miR-466a-5p" 4 4 7 8 NA 5 NA NA 1 2 1 NA NA NA NA NA 3 24 3 1 1 NA 6 NA
"414" "mmu-miR-466b-3p" 244 29 465 232 62 323 NA 86 84 59 21 11 28 26 99 119 268 269 175 132 343 149 600 147
"415" "mmu-miR-466b-5p" 3 NA NA 5 NA 2 NA NA 2 3 NA NA NA NA 43 NA 5 NA 5 NA 3 NA 4 NA
"416" "mmu-miR-466c-3p" 244 29 465 232 62 323 NA 86 84 59 21 11 28 26 99 119 268 269 175 132 343 149 600 147
"417" "mmu-miR-466c-5p" 50 10 50 61 12 40 59 17 10 40 4 2 6 2 18 10 28 79 14 36 43 5 69 15
"418" "mmu-miR-466d-3p" 19 7 36 50 19 60 NA 8 14 27 8 6 10 5 51 7 61 49 46 48 76 NA 108 42
"419" "mmu-miR-466e-3p" 332 47 736 397 115 520 NA 123 122 108 37 29 45 51 265 197 421 417 272 243 555 205 1029 332
"420" "mmu-miR-466f-3p" 3 NA 6 NA NA NA NA NA 2 NA NA NA NA NA NA NA 2 NA NA 3 2 NA 7 NA
"421" "mmu-miR-466g" 10 NA NA 10 NA 12 NA 3 10 NA NA NA NA NA 51 6 14 3 3 12 4 NA 5 NA
"422" "mmu-miR-466h-5p" 7 4 NA 14 10 13 NA 6 5 5 NA NA NA NA NA NA 2 NA 7 NA 3 NA 22 NA
"423" "mmu-miR-466i-3p" 6 1 43 4 5 5 NA 1 3 1 1 NA NA NA NA 3 9 NA 5 10 19 NA 12 9
"424" "mmu-miR-466m-3p" 3 NA NA NA NA 5 NA NA 2 3 NA NA NA NA NA NA 4 NA 2 NA 7 NA NA NA
"425" "mmu-miR-466n-3p" 17 2 31 26 8 22 NA 5 7 10 3 NA 2 2 18 16 25 12 18 31 49 11 35 26
"426" "mmu-miR-466o-5p" 3 NA NA 5 NA 2 NA NA 2 3 NA NA NA NA 43 NA 5 NA 5 NA 3 NA 4 NA
"427" "mmu-miR-466p-3p" 244 29 465 232 62 323 NA 86 84 59 21 11 28 26 99 119 268 269 175 132 343 149 600 147
"428" "mmu-miR-466p-5p" 4 4 7 8 NA 5 NA NA 1 2 1 NA NA NA NA NA 3 24 3 1 1 NA 6 NA
"429" "mmu-miR-467a-3p" 42 15 51 54 11 54 72 32 27 28 3 3 18 12 8 28 104 138 57 38 75 78 169 69
"430" "mmu-miR-467a-5p" 2569 377 1602 686 1007 608 375 542 304 302 33 85 135 95 891 288 345 753 504 1035 745 509 520 652
"431" "mmu-miR-467b-5p" 72 21 152 98 95 209 19 60 42 50 8 1 17 4 125 47 80 29 106 70 142 51 119 56
"432" "mmu-miR-467c-3p" 1 NA NA 3 NA 8 NA 5 1 2 NA NA NA 1 22 2 5 13 1 13 NA NA 4 5
"433" "mmu-miR-467c-5p" 404 64 558 314 281 261 10 210 132 106 17 20 45 24 79 173 147 155 255 379 441 152 277 170
"434" "mmu-miR-467d-3p" 76 34 74 122 25 119 156 69 47 51 15 11 33 17 91 91 181 200 128 73 171 82 306 141
"435" "mmu-miR-467d-5p" 295 29 237 117 72 162 1 66 69 45 17 10 7 9 19 63 104 115 158 100 111 27 160 127
"436" "mmu-miR-467e-3p" 4 NA NA 8 NA 13 NA 5 3 5 NA 2 NA 1 22 11 18 48 5 7 3 NA 19 15
"437" "mmu-miR-467e-5p" 955 122 1502 1308 649 1325 341 478 558 434 41 77 156 70 519 414 715 805 812 1023 1905 573 1307 519
"438" "mmu-miR-468-5p" 2 NA NA 7 7 7 NA 3 6 2 NA NA NA NA 67 25 14 21 3 25 42 17 15 15
"439" "mmu-miR-470-3p" 8 2 29 15 1 5 NA 4 3 4 3 NA 9 NA 41 4 15 26 12 4 11 2 17 25
"440" "mmu-miR-470-5p" 203 75 605 403 79 379 488 78 129 242 56 9 59 32 685 433 427 989 431 271 432 333 520 835
"441" "mmu-miR-471-3p" 156 36 72 162 49 133 49 39 43 38 6 4 7 6 66 27 134 72 141 51 188 60 77 102
"442" "mmu-miR-471-5p" 260 35 509 655 135 638 470 143 196 235 20 19 92 28 443 209 801 670 623 335 1111 174 562 268
"443" "mmu-miR-484" 65 24 135 107 78 262 NA 48 61 56 19 6 23 13 NA 65 102 58 100 126 186 53 366 134
"444" "mmu-miR-485-3p" 2 1 NA 8 NA 3 NA 1 NA NA NA NA NA NA NA NA 2 NA NA NA 4 NA NA NA
"445" "mmu-miR-485-5p" 2 3 NA 6 NA 12 NA 4 1 8 3 NA NA NA NA 6 NA NA NA NA 8 4 5 NA
"446" "mmu-miR-486a-3p" 4 5 NA 2 NA 26 NA 1 1 NA NA NA 6 NA NA NA NA NA 4 2 23 NA 1 1
"447" "mmu-miR-486a-5p" 263 48 391 211 40 573 182 54 72 42 131 3 35 20 32 166 111 132 203 109 407 81 354 461
"448" "mmu-miR-486b-5p" 263 48 391 211 40 573 182 54 72 42 131 3 35 20 32 166 111 132 203 109 407 81 354 461
"449" "mmu-miR-487b-3p" 9 NA 19 30 14 27 NA 6 11 10 NA NA 6 NA 5 18 15 14 38 10 27 38 37 NA
"450" "mmu-miR-488-3p" 9 NA NA NA NA 1 NA NA NA NA NA NA NA NA 6 NA 1 NA NA NA 2 10 NA NA
"451" "mmu-miR-489-3p" 1 NA NA NA NA 1 NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"452" "mmu-miR-491-5p" 1 NA NA NA NA 3 NA NA 1 1 NA NA NA NA NA NA NA NA 3 NA NA 15 5 NA
"453" "mmu-miR-493-3p" 3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"454" "mmu-miR-494-3p" 1 NA 3 11 1 13 NA 4 NA 2 NA NA NA NA NA 3 3 19 4 10 NA NA 4 NA
"455" "mmu-miR-495-3p" 11 3 29 19 15 59 NA 24 10 5 NA 5 5 NA 66 11 10 7 7 21 19 NA 44 8
"456" "mmu-miR-496a-3p" 2 5 25 11 14 27 NA 3 13 4 1 NA NA 2 NA 6 7 3 7 NA 25 15 18 35
"457" "mmu-miR-497a-5p" 2105 252 997 1170 1034 1333 287 628 560 393 37 74 202 98 840 401 603 847 528 701 1169 536 1424 892
"458" "mmu-miR-499-3p" 6 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"459" "mmu-miR-499-5p" 579 2 41 123 28 22 43 7 25 10 2 2 39 7 NA 19 64 42 47 54 98 154 31 8
"460" "mmu-miR-500-3p" 42 8 112 75 26 102 NA 21 51 13 7 3 18 6 37 38 53 96 43 36 75 52 96 43
"461" "mmu-miR-500-5p" 7 NA 8 3 NA 3 NA NA NA 2 NA NA NA NA NA NA 1 1 2 1 1 NA 13 NA
"462" "mmu-miR-501-3p" 74 42 727 244 81 432 47 158 112 158 21 19 63 4 223 351 165 260 155 224 383 268 364 376
"463" "mmu-miR-501-5p" 10 2 12 11 NA 33 NA 5 5 14 1 NA 3 3 NA 4 21 8 12 9 21 NA 48 32
"464" "mmu-miR-503-3p" 2 2 16 2 NA 1 NA 1 1 NA NA 1 NA NA NA 12 NA NA 3 NA NA NA NA NA
"465" "mmu-miR-503-5p" 34 2 93 60 5 128 NA 19 16 25 NA 10 6 5 76 13 33 16 9 17 155 18 186 23
"466" "mmu-miR-505-5p" 2 2 NA NA NA 4 NA NA NA NA 1 NA NA NA NA 1 4 NA NA NA 3 NA 3 NA
"467" "mmu-miR-5101" 2 NA NA 3 NA 12 NA 1 1 6 NA NA 3 1 NA NA NA NA NA 8 13 NA 15 NA
"468" "mmu-miR-511-3p" 23 14 17 45 41 63 NA 27 18 16 4 4 16 12 NA 14 40 62 36 48 65 17 124 70
"469" "mmu-miR-5121" 33 22 143 50 51 36 NA 29 28 6 4 13 24 1 60 18 25 30 22 18 27 56 45 28
"470" "mmu-miR-5123" 3 1 NA 7 9 8 NA NA 6 1 NA NA NA NA NA NA NA NA 6 18 5 NA NA 4
"471" "mmu-miR-532-3p" 18 6 54 29 28 41 NA 11 17 6 6 NA 2 6 7 4 36 NA 25 7 43 31 79 88
"472" "mmu-miR-532-5p" 351 71 554 388 288 1103 599 192 262 660 46 27 133 34 693 555 502 729 573 362 683 451 1384 1037
"473" "mmu-miR-539-5p" 6 NA 19 NA NA 1 NA NA 1 NA NA NA NA 1 NA NA 1 NA NA NA 1 NA NA NA
"474" "mmu-miR-540-5p" 4 NA NA 3 NA 2 NA NA NA NA NA NA NA NA NA NA NA NA 2 NA NA NA 2 NA
"475" "mmu-miR-541-5p" 93 17 103 124 50 259 83 73 59 75 15 4 11 10 95 101 103 97 102 161 171 147 320 283
"476" "mmu-miR-542-3p" 18 2 103 56 28 64 NA 4 13 11 NA 1 9 1 34 23 23 22 13 14 76 20 50 9
"477" "mmu-miR-542-5p" 5 1 16 5 NA 9 NA 2 2 5 2 NA NA NA NA 2 7 15 2 NA 11 NA 7 NA
"478" "mmu-miR-543-3p" 8 NA 4 7 4 20 NA 3 3 10 NA 1 NA NA NA 8 8 NA 7 10 10 7 23 10
"479" "mmu-miR-547-3p" 2 NA 22 15 5 13 NA 3 4 NA NA NA NA NA NA 5 4 NA 9 2 5 26 17 5
"480" "mmu-miR-5615-5p" 2 NA 4 NA NA NA NA NA NA 2 NA 4 NA NA NA NA NA NA NA NA 1 NA NA 1
"481" "mmu-miR-574-3p" 147 39 305 128 78 457 136 71 89 62 37 9 36 3 87 130 137 81 126 99 205 117 404 240
"482" "mmu-miR-574-5p" 222 39 186 100 57 222 29 59 60 31 13 2 18 17 38 54 65 54 71 92 181 153 145 166
"483" "mmu-miR-582-3p" 2 1 NA 2 NA 21 NA 3 3 28 NA NA 1 NA NA 6 3 13 3 1 13 NA 33 3
"484" "mmu-miR-592-5p" 32 2 NA 3 23 12 NA NA 8 13 NA 2 4 4 NA 11 1 NA 2 4 26 7 8 10
"485" "mmu-miR-598-3p" 58 6 62 32 18 115 40 17 15 28 5 NA 6 2 42 5 35 19 8 10 64 78 139 14
"486" "mmu-miR-615-3p" 104 15 331 89 48 275 NA 43 47 38 20 NA 9 4 82 78 44 16 94 27 140 62 270 49
"487" "mmu-miR-6516-5p" 2 2 NA 3 NA 14 NA 1 1 2 1 NA 1 1 NA 3 3 NA 3 13 20 NA 7 3
"488" "mmu-miR-652-3p" 1112 138 1090 942 551 1757 98 543 445 241 89 40 133 38 665 327 716 346 848 501 884 873 1342 769
"489" "mmu-miR-652-5p" 5 NA 11 5 NA 2 NA NA NA 2 NA NA NA 4 NA NA 2 2 3 NA 1 NA 5 NA
"490" "mmu-miR-664-3p" 12 NA 1 7 7 41 NA 8 7 2 3 2 7 2 NA 11 13 13 18 11 29 27 61 36
"491" "mmu-miR-664-5p" 5 4 15 9 6 11 44 11 6 3 3 1 1 1 NA 14 10 24 2 1 2 1 14 7
"492" "mmu-miR-667-3p" 5 NA NA 1 NA 2 NA NA 4 3 NA NA 4 NA NA NA 3 8 4 1 NA NA 11 6
"493" "mmu-miR-668-3p" 8 1 70 6 1 20 NA 3 4 1 1 2 1 1 NA 19 2 6 6 NA 14 33 16 17
"494" "mmu-miR-669a-3-3p" 2 2 NA 7 NA 2 NA 1 NA 4 NA NA 1 3 1 NA 1 NA NA NA NA NA 4 4
"495" "mmu-miR-669a-3p" 667 115 1034 654 290 439 399 191 187 107 51 28 97 57 714 311 512 752 246 429 549 285 1002 376
"496" "mmu-miR-669a-5p" 778 83 851 729 485 713 NA 229 279 176 11 35 80 33 96 230 267 333 211 595 589 291 818 251
"497" "mmu-miR-669b-5p" 12 1 47 9 10 9 NA 3 4 15 NA NA 2 NA NA 6 18 50 1 26 22 16 19 NA
"498" "mmu-miR-669c-5p" 255 34 219 184 84 402 NA 61 107 153 12 2 28 25 95 145 111 95 92 149 286 90 328 209
"499" "mmu-miR-669d-5p" 151 20 114 92 63 63 175 12 20 16 4 11 14 6 NA 4 50 52 76 87 87 11 174 56
"500" "mmu-miR-669e-5p" 3 1 6 13 7 10 NA 2 1 2 NA NA NA NA NA NA 2 NA 4 NA 21 NA 8 NA
"501" "mmu-miR-669f-3p" 28 4 52 37 9 14 NA 11 18 12 1 1 4 5 NA 16 21 11 9 20 24 NA 66 43
"502" "mmu-miR-669f-5p" 10 NA NA 5 20 12 75 2 7 2 NA NA 2 7 NA 4 NA 17 5 5 20 NA 8 8
"503" "mmu-miR-669h-5p" 2 NA NA NA NA 5 NA 4 2 NA NA NA NA NA NA NA 10 NA 3 NA 4 NA 6 NA
"504" "mmu-miR-669k-5p" 1 NA NA 2 NA 3 NA NA NA NA NA NA NA NA NA NA 2 NA NA NA 2 10 1 NA
"505" "mmu-miR-669l-5p" 125 14 269 143 68 266 197 44 61 43 2 NA 17 7 42 68 70 31 41 120 160 52 204 41
"506" "mmu-miR-669o-3p" 667 115 1034 654 290 439 399 191 187 107 51 28 97 57 714 311 512 752 246 429 549 285 1002 376
"507" "mmu-miR-669o-5p" 146 25 361 129 89 216 NA 48 63 72 1 5 9 16 141 64 79 37 87 79 168 46 222 35
"508" "mmu-miR-669p-3p" 1 NA NA 5 NA NA NA NA 1 NA NA NA NA NA NA NA 1 NA 2 NA 2 NA 1 NA
"509" "mmu-miR-669p-5p" 778 83 851 729 485 713 NA 229 279 176 11 35 80 33 96 230 267 333 211 595 589 291 818 251
"510" "mmu-miR-671-3p" 9 6 51 6 7 12 NA 5 5 10 2 2 1 NA NA 20 13 NA 6 8 14 12 57 25
"511" "mmu-miR-671-5p" 3 NA NA 3 NA 11 NA 1 1 5 NA NA NA NA NA NA 4 NA NA NA 7 NA 6 NA
"512" "mmu-miR-6715-5p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"513" "mmu-miR-672-3p" 33 6 26 29 1 73 NA 15 18 17 1 NA 7 NA 19 14 22 16 24 32 36 13 65 9
"514" "mmu-miR-672-5p" 1796 225 1514 789 386 3324 129 439 501 1171 71 49 163 80 513 667 694 624 617 794 2171 272 2005 948
"515" "mmu-miR-673-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"516" "mmu-miR-673-5p" 1 NA 4 1 5 2 NA NA NA NA 1 NA NA NA NA NA 2 NA NA NA NA NA 3 3
"517" "mmu-miR-674-3p" 116 55 313 118 50 375 NA 204 134 144 28 8 36 11 72 222 173 81 202 210 291 115 509 281
"518" "mmu-miR-674-5p" 29 17 131 58 34 128 1 30 31 29 3 3 5 5 27 21 31 24 65 69 52 34 132 43
"519" "mmu-miR-676-3p" 69 68 368 175 132 275 294 68 88 228 62 2 31 17 373 277 173 246 220 163 227 139 588 267
"520" "mmu-miR-676-5p" 30 8 89 53 75 83 24 27 30 50 6 NA 28 3 139 85 49 51 42 25 69 71 127 130
"521" "mmu-miR-677-3p" 1 NA 14 NA NA 5 NA 2 3 NA 1 NA 1 NA NA NA 2 17 NA NA NA NA 3 4
"522" "mmu-miR-6899-3p" 2 NA NA 5 NA 1 NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 9 NA
"523" "mmu-miR-690" 175 163 890 333 458 241 54 158 190 55 8 38 80 15 139 117 245 123 171 461 304 144 269 104
"524" "mmu-miR-6900-3p" 2 NA 8 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"525" "mmu-miR-6915-5p" 3 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA 3 NA 3 NA NA NA
"526" "mmu-miR-6938-3p" 2 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"527" "mmu-miR-6958-3p" 3 NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"528" "mmu-miR-6996-5p" 2 NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA 10 NA NA 3 NA NA NA 1 5
"529" "mmu-miR-700-3p" 21 6 62 13 16 48 NA 14 11 25 4 3 6 5 19 24 13 1 19 16 31 5 49 13
"530" "mmu-miR-701-5p" 5 NA 13 4 NA 7 NA 3 2 1 1 NA 2 NA 12 2 6 NA 11 1 9 NA 4 12
"531" "mmu-miR-7024-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"532" "mmu-miR-7026-5p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 NA
"533" "mmu-miR-7029-3p" 3 NA NA NA NA 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"534" "mmu-miR-7042-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA 2 NA
"535" "mmu-miR-7067-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"536" "mmu-miR-708-3p" 4 5 27 14 56 44 NA 13 41 20 1 7 4 7 7 27 46 183 15 13 23 22 15 23
"537" "mmu-miR-708-5p" 13 2 27 14 32 69 NA 4 20 21 NA 2 4 NA NA 6 28 43 21 7 21 42 48 23
"538" "mmu-miR-7085-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 3
"539" "mmu-miR-7091-5p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 20 NA NA NA NA NA NA
"540" "mmu-miR-7214-5p" 2 NA 11 4 NA 6 70 NA 5 3 NA NA 1 NA 31 1 3 NA 2 8 18 NA 2 11
"541" "mmu-miR-7217-3p" 1 NA NA 1 NA 1 NA NA 2 NA NA NA NA NA NA NA NA 1 1 3 5 NA 6 4
"542" "mmu-miR-7219-3p" 1 NA 9 5 3 1 NA 2 3 NA NA 3 NA NA NA NA 1 NA 1 NA NA NA 4 NA
"543" "mmu-miR-7226-3p" 3 NA NA 1 NA NA NA NA 1 NA NA 2 NA 3 NA NA NA NA 1 2 NA NA NA NA
"544" "mmu-miR-7230-3p" 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA NA 3 1 NA NA NA 3 NA NA NA
"545" "mmu-miR-741-3p" 454 128 524 943 160 693 651 211 283 179 63 57 136 87 1043 568 1184 883 1022 481 911 582 934 1070
"546" "mmu-miR-741-5p" 41 3 109 125 27 56 NA 18 26 22 1 3 10 4 125 31 103 155 47 80 128 39 50 28
"547" "mmu-miR-742-3p" 11 1 16 21 NA 7 NA 3 2 NA 1 NA 1 1 NA 10 4 NA 10 13 24 4 24 3
"548" "mmu-miR-742-5p" 12 4 27 42 7 5 28 2 6 NA 1 NA 1 2 NA 2 40 33 17 7 17 19 33 9
"549" "mmu-miR-743a-3p" 366 77 910 1338 249 1254 449 269 389 311 81 25 164 84 755 684 1648 894 1211 952 2553 558 1025 889
"550" "mmu-miR-743a-5p" 12 5 171 120 8 92 232 41 27 62 5 2 19 7 74 41 134 147 138 46 141 59 119 83
"551" "mmu-miR-743b-3p" 446 178 914 1938 366 1322 373 428 450 387 74 59 213 136 850 988 2185 1567 1816 1170 3265 1068 1390 1210
"552" "mmu-miR-743b-5p" 15 8 37 34 11 24 44 4 19 19 5 2 1 NA NA 37 52 46 46 29 54 73 22 21
"553" "mmu-miR-744-3p" 8 6 39 15 6 22 NA 2 6 18 NA NA 5 NA NA 7 13 11 20 5 16 NA 18 19
"554" "mmu-miR-744-5p" 253 122 383 316 370 537 390 304 215 252 58 25 135 34 371 275 394 197 419 499 497 218 882 704
"555" "mmu-miR-760-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"556" "mmu-miR-7667-5p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"557" "mmu-miR-7685-3p" 3 NA NA NA 8 3 NA NA 3 NA NA NA NA NA NA NA 5 NA 1 NA NA NA 5 3
"558" "mmu-miR-7685-5p" 3 NA 9 8 2 1 NA 15 5 7 NA NA 4 1 15 11 4 NA 9 32 7 NA 19 1
"559" "mmu-miR-7a-1-3p" 90 14 49 57 59 100 NA 45 21 15 3 1 12 12 82 15 37 66 74 115 92 39 100 94
"560" "mmu-miR-7a-5p" 374 117 801 807 288 727 229 226 197 318 32 36 90 101 212 377 458 432 490 423 1034 564 740 440
"561" "mmu-miR-7b-5p" 4 NA 11 12 NA 4 1 4 2 5 NA NA NA NA NA 1 1 NA 5 3 16 1 12 16
"562" "mmu-miR-802-5p" 2 NA NA 8 NA 1 NA NA NA NA NA NA NA NA NA NA 3 NA NA NA 7 NA NA NA
"563" "mmu-miR-8114" 1 NA NA 1 NA 1 NA NA NA NA 3 NA NA NA NA NA 4 NA 2 NA 1 NA 9 12
"564" "mmu-miR-8120" 1 3 6 NA NA 1 NA NA NA NA NA 1 NA NA NA 1 4 NA 6 NA 11 5 5 NA
"565" "mmu-miR-871-3p" 178 50 704 782 135 419 489 138 232 215 30 18 79 57 598 482 821 820 742 445 583 224 844 505
"566" "mmu-miR-871-5p" 117 40 466 339 101 212 365 90 95 37 22 4 45 21 130 174 321 182 283 271 251 219 283 308
"567" "mmu-miR-872-3p" 82 38 75 69 107 167 NA 59 45 27 5 9 50 1 83 51 79 79 63 22 72 59 193 233
"568" "mmu-miR-872-5p" 1281 155 2435 1994 1219 1225 399 661 804 422 44 64 274 86 648 662 969 1155 790 1640 2483 1383 1548 694
"569" "mmu-miR-874-3p" 12 4 10 13 NA 33 NA 12 5 1 3 6 4 8 22 9 12 9 20 13 22 12 21 4
"570" "mmu-miR-878-3p" 173 18 253 296 90 157 142 48 83 28 8 2 18 6 25 88 187 147 177 145 168 78 142 219
"571" "mmu-miR-878-5p" 40 27 73 244 84 91 547 38 47 163 20 11 37 21 378 103 279 851 206 113 195 122 182 171
"572" "mmu-miR-879-5p" 3 NA 2 1 NA 1 NA 3 2 NA NA NA NA NA NA NA 3 23 NA 3 7 NA 6 NA
"573" "mmu-miR-880-3p" 197 34 220 330 50 162 187 60 63 68 9 8 68 19 175 95 269 264 151 177 479 132 215 260
"574" "mmu-miR-881-3p" 486 179 720 1148 371 464 966 254 259 300 55 103 148 158 1151 677 1529 2353 1193 874 1609 1018 1135 1160
"575" "mmu-miR-883a-3p" 118 48 391 419 312 293 271 130 126 61 24 17 78 43 125 132 566 268 409 509 715 634 549 531
"576" "mmu-miR-883b-3p" 22 2 NA 35 16 29 37 6 10 11 2 4 4 3 20 11 36 65 22 10 39 42 41 25
"577" "mmu-miR-9-3p" 1589 1375 7951 6665 3269 8880 915 2857 2015 7197 123 416 1429 983 4637 12166 5604 3716 4034 5163 12125 1188 18573 2778
