"Annotation" "Reads.1" "Reads.2" "Reads.3" "Reads.4" "Reads.5" "Reads.6" "Reads.7" "Reads.8" "Reads.9" "Reads.10" "Reads.11" "Reads.12" "Reads.13" "Reads.14" "Reads.15" "Reads.16" "Reads.17" "Reads.18" "Reads.19" "Reads.20" "Reads.21" "Reads.22" "Reads.23" "Reads.24"
"108" "mmu-miR-153-5p" 4 3 11 5 7 4 18 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 3 NA
"109" "mmu-miR-154-3p" 6 3 44 27 28 34 NA 13 13 1 1 NA 6 7 NA 5 14 47 13 14 30 14 27 36
"110" "mmu-miR-155-5p" 55 8 43 91 69 157 NA 55 22 32 8 NA 18 11 11 39 44 30 44 55 96 120 181 85
"111" "mmu-miR-15a-5p" 949 79 563 694 628 511 455 222 232 375 16 39 106 71 1120 222 327 1401 295 354 577 306 435 452
"112" "mmu-miR-15b-3p" 17 4 75 45 35 114 NA 33 16 20 7 2 8 5 26 18 38 NA 41 17 84 29 105 26
"113" "mmu-miR-15b-5p" 2795 557 3600 4255 997 5944 1608 957 1435 986 627 109 468 203 1549 1541 4597 2460 4403 2360 3981 1936 7756 4346
"114" "mmu-miR-16-2-3p" 22 4 40 45 24 54 NA 5 9 26 6 NA 10 5 12 10 42 42 47 54 130 28 86 16
"115" "mmu-miR-16-5p" 18332 3502 25683 24396 14166 19476 7526 7532 8053 3762 1299 797 2182 1215 9326 9814 10877 14097 12222 16760 15839 12106 13919 11919
"116" "mmu-miR-17-3p" 64 15 113 84 51 142 5 26 25 17 6 3 5 NA 94 38 34 70 61 67 59 108 154 71
"117" "mmu-miR-17-5p" 538 33 206 288 127 597 103 125 115 173 16 18 46 16 277 87 305 174 134 179 562 171 699 203
"118" "mmu-miR-181a-1-3p" 6 4 24 23 24 38 NA 12 17 13 12 NA 1 1 NA 7 23 27 24 1 15 23 45 60
"119" "mmu-miR-181a-2-3p" 67 38 342 59 47 100 133 47 56 120 10 2 27 10 96 108 66 69 66 60 89 34 225 133
"120" "mmu-miR-181a-5p" 3696 795 8332 3010 2875 4676 1170 2615 2339 878 502 255 681 286 2123 2229 2527 2299 2454 3108 3721 2069 4836 6312
"121" "mmu-miR-181b-1-3p" 4 NA 10 2 NA 5 NA NA NA 8 NA NA NA NA NA NA NA NA 1 1 1 NA 1 NA
"122" "mmu-miR-181b-5p" 648 126 1183 722 615 1257 101 419 439 467 86 38 169 67 376 530 542 466 507 634 965 732 1198 885
"123" "mmu-miR-181c-3p" 17 6 32 22 5 40 NA 5 10 4 3 NA 6 NA 56 NA 26 20 12 4 27 NA 47 35
"124" "mmu-miR-181c-5p" 403 129 723 328 445 185 36 227 188 17 51 39 102 29 270 88 268 345 224 426 480 263 281 686
"125" "mmu-miR-181d-5p" 241 29 298 155 191 153 104 83 92 60 19 36 34 13 96 66 128 74 123 142 292 267 207 269
"126" "mmu-miR-182-3p" 10 2 17 19 NA 42 NA NA 12 12 1 1 1 8 NA 14 11 NA 11 9 54 16 65 17
"127" "mmu-miR-182-5p" 29999 4490 36101 21867 14674 26720 21778 12693 9094 32817 1333 1934 5354 3115 48594 23435 14434 45930 14982 20211 22883 11570 32737 26670
"128" "mmu-miR-183-3p" 21 3 77 40 21 114 NA 27 18 27 1 2 21 1 1 31 44 42 61 62 77 47 90 32
"129" "mmu-miR-183-5p" 5824 1262 11782 4454 2942 9004 5198 2673 2773 11507 435 352 1594 568 13651 5877 4679 12919 5296 5249 7275 3706 10202 7970
"130" "mmu-miR-1839-3p" 72 6 2 22 25 52 NA 16 12 18 5 1 4 NA 38 19 27 25 38 20 16 28 73 95
"131" "mmu-miR-1839-5p" 905 181 1037 1040 432 2036 160 399 435 453 48 70 152 118 628 554 824 607 846 911 1844 1825 2325 803
"132" "mmu-miR-184-3p" 125 70 334 485 58 330 210 83 134 122 64 27 67 39 245 316 565 467 426 245 544 299 411 412
"133" "mmu-miR-184-5p" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"134" "mmu-miR-1843a-3p" 14 NA 44 14 NA 41 NA 9 20 13 NA NA 1 1 NA 6 18 NA 14 2 14 15 35 16
"135" "mmu-miR-1843a-5p" 177 33 177 120 104 218 NA 96 94 74 5 7 26 18 109 69 142 214 96 189 228 208 180 179
"136" "mmu-miR-1843b-3p" 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"137" "mmu-miR-1843b-5p" 92 21 95 65 90 98 64 47 43 29 2 2 15 12 62 31 86 166 60 93 100 140 89 82
"138" "mmu-miR-185-5p" 167 18 208 261 74 589 76 44 76 92 13 8 41 18 73 105 174 87 164 272 458 221 385 187
"139" "mmu-miR-186-3p" 1 1 NA 4 3 9 NA 1 3 NA NA NA 2 NA NA NA 2 NA 3 NA 7 4 6 2
"140" "mmu-miR-186-5p" 537 257 550 582 391 581 19 363 247 81 45 56 165 73 404 382 492 366 511 445 826 1216 1182 835
"141" "mmu-miR-187-3p" 112 51 309 207 78 531 12 69 90 83 15 7 28 1 107 71 147 39 127 143 240 111 480 106
"142" "mmu-miR-187-5p" 2 2 NA 4 NA 3 NA NA NA 3 NA NA 1 NA NA NA 6 NA 1 NA NA NA 4 11
"143" "mmu-miR-188-5p" 13 NA NA 3 4 4 NA 1 4 3 NA 2 NA NA NA NA 3 NA NA 8 4 6 4 NA
"144" "mmu-miR-18a-3p" 4 NA NA 1 NA 5 NA 2 7 NA NA NA NA 1 NA NA 5 NA 4 3 2 NA 7 3
"145" "mmu-miR-18a-5p" 395 24 281 489 62 479 353 91 91 172 11 19 54 17 163 90 373 471 219 191 623 236 387 226
"146" "mmu-miR-190a-3p" 4 NA NA NA NA NA NA NA NA 8 NA NA NA NA NA NA NA NA NA 17 NA NA NA NA
"147" "mmu-miR-190a-5p" 5 9 33 16 38 14 NA 2 7 8 2 3 4 2 NA NA 5 NA 10 22 48 38 64 5
"148" "mmu-miR-190b-5p" 5 2 17 19 17 4 NA 4 3 7 1 1 NA 4 NA 2 21 35 24 2 28 8 20 7
"149" "mmu-miR-191-3p" 29 11 121 35 20 59 45 14 33 27 6 NA 7 6 4 14 39 14 36 46 38 14 105 26
"150" "mmu-miR-191-5p" 13383 3431 36580 23820 10457 44617 6384 14365 9461 8155 2268 726 3228 1489 11966 21531 20235 10623 21991 20437 31740 16254 40021 25309
"151" "mmu-miR-192-5p" 62 44 211 201 31 243 32 85 36 48 17 10 99 9 108 39 147 70 79 93 86 33 126 63
"152" "mmu-miR-1930-5p" 11 NA NA 1 NA 2 NA NA NA NA 1 NA 2 NA NA NA 1 NA NA NA 1 NA 3 NA
"153" "mmu-miR-1931" 2 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"154" "mmu-miR-193a-3p" 3 1 3 1 14 NA 64 NA 1 5 NA NA NA NA NA 2 NA NA NA NA NA NA 10 NA
"155" "mmu-miR-193a-5p" 4 1 4 5 7 45 NA 7 4 7 2 NA 2 4 NA 2 8 23 10 3 24 NA 58 19
